SA,DATE,Burn_date,PLOT,PLOT,PLOT,#VP,LAI,SEL,CONF,NOTES,Burn,Fuels,Planting
R,20010907,,5,B,2,,1.45,0.3,,,,,
R,19970922,,5,B,3,,2.23,0.11,,,,,
R,20010907,,5,B,3,,2.3,0.5,,,,,
R,19970922,,5,B,4,,3.74,0.3,,,,,
R,20010907,,5,B,4,,1.67,0.24,,,,,
R,19970922,,5,B,5,,3.07,0.39,,,,,
R,20010907,,5,B,5,,1.63,0.34,,,,,
R,19970922,,5,B,6,,4.81,0.13,,,,,
R,20010907,,5,B,6,,1.82,0.43,,,,,
R,19970922,,5,B,7,,1.64,0.31,,,,,
R,20010907,,5,B,7,,1.9,0.22,,,,,
R,19970922,,5,B,8,,3.95,0.26,,,,,
R,20010907,,5,B,8,,1.91,0.34,,,,,
R,19970922,,5,B,9,,3.5,0.18,,,,,
R,20010907,,5,B,9,,1.12,0.17,,,,,
R,19970922,,5,B,10,,1.92,0.24,,,,,
R,20010907,,5,B,10,,1.88,0.29,,,,,
S,19960917,,1,A,1,,3.95,0.4,,,,,
S,19970922,,1,A,1,,2.69,0.2,,,,,
S,19960917,,1,A,2,,2.46,0.15,,,,,
S,19970922,,1,A,2,,1.14,0.19,,,,,
S,19960917,,1,A,3,,2.34,0.29,,,,,
S,19970922,,1,A,3,,0.31,0.11,,,,,
S,19960917,,1,A,4,,2.68,0.27,,,,,
S,19970922,,1,A,4,,1.83,0.56,,,,,
S,19960917,,1,A,5,,3.9,0.36,,,,,
S,19970922,,1,A,5,,3.58,0.67,,,,,
S,19960917,,1,A,6,,3.56,0.14,,,,,
S,19970922,,1,A,6,,1.73,0.3,,,,,
S,19960917,,1,A,7,,4.98,0.21,,,,,
S,19970922,,1,A,7,,2.47,0.33,,,,,
S,19960917,,1,A,8,,3.97,0.35,,,,,
S,19970922,,1,A,8,,1.86,0.49,,,,,
S,19960917,,1,A,9,,4.14,0.32,,,,,
S,19970922,,1,A,9,,2.29,0.49,,,,,
S,19960917,,1,A,10,,2.79,0.34,,,,,
S,19970922,,1,A,10,,1.99,0.24,,,,,
S,19960917,,2,A,1,,1.68,0.12,,,,,
S,19970922,,2,A,1,,0.35,0.05,,,,,
S,19960917,,2,A,2,,1.95,0.22,,,,,
S,19970922,,2,A,2,,0.27,0.07,,,,,
S,19960917,,2,A,3,,1.19,0.06,,,,,
S,19970922,,2,A,3,,0.59,0.04,,,,,
S,19960917,,2,A,4,,1.29,0.18,,,,,
S,19970922,,2,A,4,,0.63,0.07,,,,,
S,19960917,,2,A,5,,1.91,0.14,,,,,
S,19970922,,2,A,5,,1,0.1,,,,,
S,19960917,,2,A,6,,2.41,0.37,,,,,
S,19970922,,2,A,6,,0.38,0.12,,,,,
S,19960917,,2,A,7,,0,0,,,,,
S,19970922,,2,A,7,,0.17,0.05,,,,,
S,19960917,,2,A,8,,2.48,0.71,,,,,
S,19970922,,2,A,8,,1.23,0.31,,,,,
S,19960917,,2,A,9,,1.78,0,,,,,
S,19970922,,2,A,9,,0.23,0.09,,,,,
S,19960917,,2,A,10,,1.02,0.48,,,,,
S,19970922,,2,A,10,,0.27,0.18,,,,,
S,19960917,,2,B,1,,0.33,0,,,,,
S,19970922,,2,B,1,,0.1,0.06,,,,,
S,19960917,,2,B,2,,0.15,0,,,,,
S,19970922,,2,B,2,,0.27,0.04,,,,,
S,19960917,,2,B,3,,0.64,0,,,,,
S,19970922,,2,B,3,,0.12,0.03,,,,,
S,19960917,,2,B,4,,0.57,0.18,,,,,
S,19970922,,2,B,4,,0.18,0.11,,,,,
S,19960917,,2,B,5,,1.69,0.05,,,,,
S,19970922,,2,B,5,,0.24,0.06,,,,,
S,19960917,,2,B,6,,2.38,0.63,,,,,
S,19970922,,2,B,6,,0.41,0.18,,,,,
S,19960917,,2,B,7,,1.46,0.17,,,,,
S,19970922,,2,B,7,,1.04,0.08,,,,,
S,19960917,,2,B,8,,1.74,0.2,,,,,
S,19970922,,2,B,8,,0.38,0.15,,,,,
S,19960917,,2,B,9,,0.91,0.15,,,,,
S,19970922,,2,B,9,,0.26,0.12,,,,,
S,19960917,,2,B,10,,2.32,0.53,,,,,
S,19970922,,2,B,10,,0.54,0.3,,,,,
S,19960917,,3,A,1,,2.81,0.45,,,,,
S,19970922,,3,A,1,,1.36,0.57,,,,,
S,19960917,,3,A,2,,2.86,0.43,,,,,
S,19970922,,3,A,2,,1.18,0.28,,,,,
S,19960917,,3,A,3,,3.55,0.31,,,,,
S,19970922,,3,A,3,,2.06,0.35,,,,,
S,19960917,,3,A,4,,3.83,0.13,,,,,
S,19970922,,3,A,4,,1.6,0.39,,,,,
S,19960917,,3,A,5,,3.56,0.33,,,,,
S,19970922,,3,A,5,,1.18,0.31,,,,,
S,19960917,,3,A,6,,2.28,0.19,,,,,
S,19970922,,3,A,6,,0.93,0.14,,,,,
S,19960917,,3,A,7,,3.12,0.33,,,,,
S,19970922,,3,A,7,,1.72,0.34,,,,,
